Дата;Тип;Категория;Описание;Сумма;Местоположение;Способ оплаты;Карта;Время
01.01.2023;Расход;Еда;Покупка продуктов;5000;"Супермаркет ""Магнит""";Карта Visa;**** **** **** 1234;10:00
02.01.2023;Расход;Транспорт;Заправка топливом;2000;"АЗС ""Лукойл""";Карта MasterCard;**** **** **** 5678;15:30
03.01.2023;Расход;Жилье;Аренда квартиры;10000;Управляющая компания;Банковский перевод;**** **** **** 1234;8:45
04.01.2023;Расход;Развлечения;Кинотеатр;800;"Кинотеатр ""Синема Парк""";Карта Visa;**** **** **** 5678;20:15
05.01.2023;Расход;Здоровье;Посещение врача;1500;"Клиника ""Здоровье""";Банковский перевод;**** **** **** 1234;14:20
06.01.2023;Расход;Еда;Ресторан;2500;"Ресторан ""La Trattoria""";Карта MasterCard;**** **** **** 5678;19:00
07.01.2023;Расход;Транспорт;Билеты на общественный транспорт;500;"Остановка ""Парковая""";Наличные;Наличные;9:30
08.01.2023;Расход;Жилье;Коммунальные платежи;4000;Управляющая компания;Банковский перевод;**** **** **** 1234;16:55
09.01.2023;Расход;Развлечения;Концерт;1200;"Концертный зал ""Музик Холл""";Карта Visa;**** **** **** 5678;21:45
10.01.2023;Расход;Здоровье;Аптека;300;"Аптека ""Здоровье""";Наличные;Наличные;11:10
01.02.2023;Расход;Еда;Покупка продуктов;4800;"Супермаркет ""Ашан""";Карта Visa;**** **** **** 1234;9:15
02.02.2023;Расход;Транспорт;Заправка топливом;2200;"АЗС ""Газпромнефть""";Карта MasterCard;**** **** **** 5678;16:20
03.02.2023;Расход;Жилье;Аренда квартиры;10000;Управляющая компания;Банковский перевод;**** **** **** 1234;8:30
04.02.2023;Расход;Развлечения;Кинотеатр;700;"Кинотеатр ""КиноМир""";Карта Visa;**** **** **** 5678;19:45
05.02.2023;Доход;Зарплата;Зарплата за январь;25000;"ООО ""Компания""";Банковский перевод;**** **** **** 1234;12:00
06.02.2023;Расход;Еда;Ресторан;2800;"Ресторан ""Мама Рима""";Карта MasterCard;**** **** **** 5678;20:30
07.02.2023;Доход;Дивиденды;Дивиденды по акциям;3000;Инвестиционная компания;Банковский перевод;**** **** **** 1234;14:30
08.02.2023;Расход;Жилье;Коммунальные платежи;4200;Управляющая компания;Банковский перевод;**** **** **** 5678;16:45
09.02.2023;Расход;Развлечения;Концерт;1100;"Концертный зал ""Музик Холл""";Карта Visa;**** **** **** 1234;22:15
10.02.2023;Доход;Доход от инвестиций;Доход от акций;500;Инвестиционная компания;Банковский перевод;**** **** **** 5678;11:30
01.03.2023;Расход;Еда;Покупка продуктов;4500;"Супермаркет ""Лента""";Карта Visa;**** **** **** 1234;10:15
02.03.2023;Расход;Транспорт;Билеты на метро;300;"Станция метро ""Парк Культуры""";Карта MasterCard;**** **** **** 5678;8:30
03.03.2023;Расход;Жилье;Квартплата;8500;Управляющая компания;Банковский перевод;**** **** **** 1234;9:45
04.03.2023;Доход;Доход от инвестиций;Доход от акций;750;Инвестиционная компания;Банковский перевод;**** **** **** 5678;14:20
05.03.2023;Расход;Здоровье;Аптека;400;"Аптека ""Фармация""";Наличные;Наличные;11:00
06.03.2023;Расход;Развлечения;Боулинг;1200;"Боулинг-клуб ""Strike""";Карта Visa;**** **** **** 1234;19:30
07.03.2023;Доход;Зарплата;Зарплата за февраль;26000;"ООО ""Компания""";Банковский перевод;**** **** **** 5678;12:15
